ID,Estacion,Actividad,Instruccion actual,Estado,Problema,AE relacionado,Correccion,Implementacion
M1-E1-CTX,1,Contextualizacion,¿Qué revisarías primero y qué información necesitarías confirmar?,Completa,Las instrucciones estaban repartidas en varios bloques; el estudiante debía reconstruir por sí mismo el producto final y el criterio de término.,M1-AE1,"Observa el caso, distingue datos de suposiciones y anticipa qué debes verificar. Lee el caso profesional, abre todos los puntos del escenario y anota primero solo lo que puedes observar. Tres observaciones breves y una respuesta final que incluya un elemento reconocido, una revisión necesaria y un dato faltante. Terminas cuando abriste todos los puntos y tu respuesta final identifica un dato, una revisión y una información pendiente.",REALIZADA
M1-E2-AE1-1,2,"Lee planos de refrigeración y climatización, utilizando la simbología técnica respectiva para reconocer el espacio físico donde se instalarán las distintas redes de refrigeración y climatización, en relación con las normas de dibujo técnico establecidas de calefacción y ventilación.","Explora el escenario y abre cada punto. ¿Qué información aporta cada uno al aprendizaje Lee planos de refrigeración y climatización, utilizando la simbología técnica respectiva para reconocer el espacio físico donde se instalarán las distintas redes de refrigeración y climatización, en relación con las normas de dibujo técnico establecidas de calefacción y ventilación.?",Completa,"La consigna indica la acción principal, pero no reúne en un solo lugar el recurso, la evidencia esperada y el criterio de término.",M1-AE1,"Localiza y abre todos los puntos señalados; luego explica qué información aporta cada uno. Comienza por el recinto o elemento principal y continúa punto por punto sin inferir datos que la imagen no muestra. Todos los puntos inspeccionados y una explicación escrita basada en un dato visible. Terminas cuando abriste todos los puntos y tu explicación identifica un dato, su significado y un límite de la evidencia.",REALIZADA
M1-E2-AE1-2,2,"Lee planos de refrigeración y climatización, utilizando la simbología técnica respectiva para reconocer el espacio físico donde se instalarán las distintas redes de refrigeración y climatización, en relación con las normas de dibujo técnico establecidas de calefacción y ventilación.",Relaciona cada concepto con su significado en este módulo.,Completa,"La consigna indica la acción principal, pero no reúne en un solo lugar el recurso, la evidencia esperada y el criterio de término.",M1-AE1,"Relaciona cada concepto con su significado técnico y justifica una de las relaciones. Lee primero todos los conceptos y significados; después forma las parejas usando función, unidad o documento de respaldo. Todas las parejas correctas y una justificación escrita con vocabulario técnico. Terminas cuando no quedan tarjetas sin pareja y explicas por qué una relación es válida.",REALIZADA
M1-E2-AE1-3,2,"Lee planos de refrigeración y climatización, utilizando la simbología técnica respectiva para reconocer el espacio físico donde se instalarán las distintas redes de refrigeración y climatización, en relación con las normas de dibujo técnico establecidas de calefacción y ventilación.",Ordena el procedimiento de revisión. Arrastra o usa las flechas.,Completa,"La consigna indica la acción principal, pero no reúne en un solo lugar el recurso, la evidencia esperada y el criterio de término.",M1-AE1,Ordena el procedimiento y explica qué riesgo evita el orden elegido. Identifica el paso que prepara el trabajo y el que verifica el resultado; ubica después los pasos intermedios. Secuencia completa y una justificación escrita del orden. Terminas cuando todos los pasos están ordenados y justificas el orden con una consecuencia técnica o de seguridad.,REALIZADA
M1-E2-AE1-4,2,"Lee planos de refrigeración y climatización, utilizando la simbología técnica respectiva para reconocer el espacio físico donde se instalarán las distintas redes de refrigeración y climatización, en relación con las normas de dibujo técnico establecidas de calefacción y ventilación.",Dos líneas se cruzan en planta y no se indica unión ni cota de altura. ¿Qué harías?,Completa,"La consigna indica la acción principal, pero no reúne en un solo lugar el recurso, la evidencia esperada y el criterio de término.",M1-AE1,"Analiza la evidencia, selecciona la decisión profesional mejor fundamentada y justifícala. Identifica primero qué dato está disponible, qué falta y qué documento permitiría verificarlo. Una alternativa y una justificación escrita que cite un dato o documento. Terminas cuando seleccionas una alternativa y explicas por qué es válida sin agregar información no disponible.",REALIZADA
M1-E2-AE1-5,2,"Lee planos de refrigeración y climatización, utilizando la simbología técnica respectiva para reconocer el espacio físico donde se instalarán las distintas redes de refrigeración y climatización, en relación con las normas de dibujo técnico establecidas de calefacción y ventilación.",Compara las etiquetas UE-01 y UI-01 en la planta y en el esquema. Describe dos verificaciones para evitar confundir equipos.,Completa,"La consigna indica la acción principal, pero no reúne en un solo lugar el recurso, la evidencia esperada y el criterio de término.",M1-AE1,"Analiza la evidencia, selecciona la decisión profesional mejor fundamentada y justifícala. Identifica primero qué dato está disponible, qué falta y qué documento permitiría verificarlo. Una alternativa y una justificación escrita que cite un dato o documento. Terminas cuando seleccionas una alternativa y explicas por qué es válida sin agregar información no disponible.",REALIZADA
M1-E2-AE1-6,2,"Lee planos de refrigeración y climatización, utilizando la simbología técnica respectiva para reconocer el espacio físico donde se instalarán las distintas redes de refrigeración y climatización, en relación con las normas de dibujo técnico establecidas de calefacción y ventilación.",Revisa tus respuestas. Explica qué error de interpretación podrías cometer y qué recurso te ayudaría a corregirlo.,Completa,"La consigna indica la acción principal, pero no reúne en un solo lugar el recurso, la evidencia esperada y el criterio de término.",M1-AE1,"Revisa tu evidencia, identifica un error posible y propone una mejora verificable. Recupera la decisión de la etapa anterior y compárala con el criterio del AE. Una reflexión que nombre evidencia, error o límite, acción de mejora y forma de comprobarla. Terminas cuando la mejora puede ejecutarse y verificarse con una evidencia concreta.",REALIZADA
M1-E2-AE2-1,2,"Lee y utiliza las especificaciones técnicas de proyectos de refrigeración y climatización, para conocer las indicaciones técnicas y el tipo de material que se empleará en la ejecución de los trabajos y poder determinar posibles interferencias o dificultades en las etapas del proyecto.",Clasifica cada elemento según su función en el proyecto simulado.,Completa,"La consigna indica la acción principal, pero no reúne en un solo lugar el recurso, la evidencia esperada y el criterio de término.",M1-AE2,"Clasifica cada elemento en la categoría que corresponde y fundamenta una clasificación. Lee las categorías y decide qué función, dato o documento distingue a cada elemento. Todos los elementos clasificados y una justificación escrita. Terminas cuando cada elemento pertenece a una categoría y explicas el criterio usado.",REALIZADA
M1-E2-AE2-2,2,"Lee y utiliza las especificaciones técnicas de proyectos de refrigeración y climatización, para conocer las indicaciones técnicas y el tipo de material que se empleará en la ejecución de los trabajos y poder determinar posibles interferencias o dificultades en las etapas del proyecto.",Un accesorio no siempre aparece dibujado a escala. Explica cómo usarías la leyenda y las especificaciones para identificarlo.,Completa,"La consigna indica la acción principal, pero no reúne en un solo lugar el recurso, la evidencia esperada y el criterio de término.",M1-AE2,"Analiza la evidencia, selecciona la decisión profesional mejor fundamentada y justifícala. Identifica primero qué dato está disponible, qué falta y qué documento permitiría verificarlo. Una alternativa y una justificación escrita que cite un dato o documento. Terminas cuando seleccionas una alternativa y explicas por qué es válida sin agregar información no disponible.",REALIZADA
M1-E2-AE2-3,2,"Lee y utiliza las especificaciones técnicas de proyectos de refrigeración y climatización, para conocer las indicaciones técnicas y el tipo de material que se empleará en la ejecución de los trabajos y poder determinar posibles interferencias o dificultades en las etapas del proyecto.",Marca las comprobaciones mínimas antes de interpretar el caso.,Completa,"La consigna indica la acción principal, pero no reúne en un solo lugar el recurso, la evidencia esperada y el criterio de término.",M1-AE2,"Selecciona las comprobaciones necesarias y explica cuál realizarías primero. Distingue entre datos verificados, datos faltantes y suposiciones antes de marcar. Selección completa y una explicación escrita de la prioridad. Terminas cuando marcas todas las comprobaciones pertinentes y justificas la primera acción.",REALIZADA
