ID,Recurso,Tipo,AE,Proposito,Accion estudiante,Valor pedagogico,Exactitud,Accesibilidad,Decision,Correccion,Estado final
M1-MED-001,oficio-plano-leyenda.png?v=3,foto,Observar el escenario del AE con hotspots ligados a criterio,E1 Contextualización · explorar,"Observar datos visibles, transformarlos en una respuesta y declarar el limite de la evidencia.",Pertinente,Caso simulado; no acredita conformidad tecnica.,"Texto alternativo, leyenda neutral, foco y control por teclado.",MANTENER,"Conservar con consigna, texto alternativo, leyenda y evidencia vinculada al AE.",REALIZADA
M1-MED-002,oficio-plano-leyenda.png?v=3,3d,"Lee planos de refrigeración y climatización, utilizando la simbología técnica respectiva para reconocer el espacio físico donde se instalarán las distintas redes de refrigeración y climatización, en relación con las normas de dibujo técnico establecidas de calefacción y ventilación.",E2 AE1 etapa 1 (hotspot),"Observar datos visibles, transformarlos en una respuesta y declarar el limite de la evidencia.",Pertinente,Caso simulado; no acredita conformidad tecnica.,"Texto alternativo, leyenda neutral, foco y control por teclado.",MODIFICAR,Rotular como recorrido espacial interactivo y declarar que no es un modelo 3D completo.,REALIZADA
M1-MED-003,oficio-plano-leyenda.png?v=3,foto,"Lee planos de refrigeración y climatización, utilizando la simbología técnica respectiva para reconocer el espacio físico donde se instalarán las distintas redes de refrigeración y climatización, en relación con las normas de dibujo técnico establecidas de calefacción y ventilación.",E2 AE1 etapa 2 (match),"Observar datos visibles, transformarlos en una respuesta y declarar el limite de la evidencia.",Pertinente,Caso simulado; no acredita conformidad tecnica.,"Texto alternativo, leyenda neutral, foco y control por teclado.",MANTENER,"Conservar con consigna, texto alternativo, leyenda y evidencia vinculada al AE.",REALIZADA
M1-MED-004,oficio-plano-leyenda.png?v=3,foto,"Lee planos de refrigeración y climatización, utilizando la simbología técnica respectiva para reconocer el espacio físico donde se instalarán las distintas redes de refrigeración y climatización, en relación con las normas de dibujo técnico establecidas de calefacción y ventilación.",E2 AE1 etapa 3 (order),"Observar datos visibles, transformarlos en una respuesta y declarar el limite de la evidencia.",Pertinente,Caso simulado; no acredita conformidad tecnica.,"Texto alternativo, leyenda neutral, foco y control por teclado.",MANTENER,"Conservar con consigna, texto alternativo, leyenda y evidencia vinculada al AE.",REALIZADA
M1-MED-005,oficio-cruce.png?v=3,foto,"Lee planos de refrigeración y climatización, utilizando la simbología técnica respectiva para reconocer el espacio físico donde se instalarán las distintas redes de refrigeración y climatización, en relación con las normas de dibujo técnico establecidas de calefacción y ventilación.",E2 AE1 etapa 4 (choice),"Observar datos visibles, transformarlos en una respuesta y declarar el limite de la evidencia.",Pertinente,Caso simulado; no acredita conformidad tecnica.,"Texto alternativo, leyenda neutral, foco y control por teclado.",MANTENER,"Conservar con consigna, texto alternativo, leyenda y evidencia vinculada al AE.",REALIZADA
M1-MED-006,oficio-plano-leyenda.png?v=3,foto,"Lee planos de refrigeración y climatización, utilizando la simbología técnica respectiva para reconocer el espacio físico donde se instalarán las distintas redes de refrigeración y climatización, en relación con las normas de dibujo técnico establecidas de calefacción y ventilación.",E2 AE1 etapa 5 (choice),"Observar datos visibles, transformarlos en una respuesta y declarar el limite de la evidencia.",Pertinente,Caso simulado; no acredita conformidad tecnica.,"Texto alternativo, leyenda neutral, foco y control por teclado.",MANTENER,"Conservar con consigna, texto alternativo, leyenda y evidencia vinculada al AE.",REALIZADA
M1-MED-007,oficio-plano-leyenda.png?v=3,foto,"Lee planos de refrigeración y climatización, utilizando la simbología técnica respectiva para reconocer el espacio físico donde se instalarán las distintas redes de refrigeración y climatización, en relación con las normas de dibujo técnico establecidas de calefacción y ventilación.",E2 AE1 etapa 6 (reflect),"Observar datos visibles, transformarlos en una respuesta y declarar el limite de la evidencia.",Pertinente,Caso simulado; no acredita conformidad tecnica.,"Texto alternativo, leyenda neutral, foco y control por teclado.",MANTENER,"Conservar con consigna, texto alternativo, leyenda y evidencia vinculada al AE.",REALIZADA
M1-MED-008,oficio-cruce.png?v=3,foto,"Lee y utiliza las especificaciones técnicas de proyectos de refrigeración y climatización, para conocer las indicaciones técnicas y el tipo de material que se empleará en la ejecución de los trabajos y poder determinar posibles interferencias o dificultades en las etapas del proyecto.",E2 AE2 etapa 1 (classify),"Observar datos visibles, transformarlos en una respuesta y declarar el limite de la evidencia.",Pertinente,Caso simulado; no acredita conformidad tecnica.,"Texto alternativo, leyenda neutral, foco y control por teclado.",MANTENER,"Conservar con consigna, texto alternativo, leyenda y evidencia vinculada al AE.",REALIZADA
M1-MED-009,oficio-cruce.png?v=3,foto,"Lee y utiliza las especificaciones técnicas de proyectos de refrigeración y climatización, para conocer las indicaciones técnicas y el tipo de material que se empleará en la ejecución de los trabajos y poder determinar posibles interferencias o dificultades en las etapas del proyecto.",E2 AE2 etapa 2 (choice),"Observar datos visibles, transformarlos en una respuesta y declarar el limite de la evidencia.",Pertinente,Caso simulado; no acredita conformidad tecnica.,"Texto alternativo, leyenda neutral, foco y control por teclado.",MANTENER,"Conservar con consigna, texto alternativo, leyenda y evidencia vinculada al AE.",REALIZADA
M1-MED-010,oficio-cruce.png?v=3,foto,"Lee y utiliza las especificaciones técnicas de proyectos de refrigeración y climatización, para conocer las indicaciones técnicas y el tipo de material que se empleará en la ejecución de los trabajos y poder determinar posibles interferencias o dificultades en las etapas del proyecto.",E2 AE2 etapa 3 (checklist),"Observar datos visibles, transformarlos en una respuesta y declarar el limite de la evidencia.",Pertinente,Caso simulado; no acredita conformidad tecnica.,"Texto alternativo, leyenda neutral, foco y control por teclado.",MANTENER,"Conservar con consigna, texto alternativo, leyenda y evidencia vinculada al AE.",REALIZADA
